"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.858168700E-2,4.492524564E-1,6.400800496E-2,1.140957642E1,1.141859706E1
3.107606200E-2,6.311069727E-1,1.214357466E-1,1.151486111E1,1.153278236E1
3.357038500E-2,5.258227587E-1,8.315058798E-2,1.188335514E1,1.189527356E1
3.606476000E-2,5.018945336E-1,4.965107143E-2,1.186421299E1,1.187492792E1
3.855908300E-2,5.258227587E-1,9.750752151E-2,1.163928795E1,1.165156733E1
4.107595800E-2,5.688936114E-1,7.836493850E-2,1.159621716E1,1.161042778E1
4.359283300E-2,4.683950245E-1,7.836493850E-2,1.172542953E1,1.173504294E1
4.610970800E-2,3.918247223E-1,8.315058798E-2,1.159621716E1,1.160313289E1
4.862658300E-2,4.157529473E-1,1.310070455E-1,1.150528908E1,1.151354377E1
5.114340600E-2,4.157529473E-1,1.310070455E-1,1.132343483E1,1.133182199E1
5.366028100E-2,2.913261652E-1,1.740778536E-1,1.117029476E1,1.117544894E1
5.617715600E-2,1.854437590E-1,1.214357466E-1,1.101177025E1,1.101400109E1
5.862715600E-2,1.328016520E-1,2.075773627E-1,1.070070267E1,1.070353970E1
6.107715600E-2,-2.991028316E-2,1.836491376E-1,1.021256733E1,1.021426224E1
6.352715600E-2,-1.160518974E-1,3.463610709E-1,9.747760773E0,9.754602714E0
6.601272900E-2,-1.686939895E-1,2.889333367E-1,9.441479683E0,9.447405926E0
6.849830200E-2,-3.888336718E-1,2.841476798E-1,8.785248756E0,8.798438909E0
7.098382300E-2,-3.840480447E-1,4.564309120E-1,8.028517723E0,8.050647111E0
7.346939600E-2,-4.031906128E-1,5.958128572E-1,7.454240799E0,7.488875852E0
7.595491700E-2,-7.764709592E-1,4.229314029E-1,6.515655994E0,6.575374602E0
7.844049000E-2,-1.006780148E0,4.420739710E-1,5.787639618E0,5.891163553E0
8.092601000E-2,-6.520441771E-1,5.138586760E-1,6.381658077E0,6.435431001E0
8.341158300E-2,-3.409772217E-1,3.655036688E-1,8.086544037E0,8.101978330E0
8.590976000E-2,-3.218346536E-1,4.037888348E-1,9.173483849E0,9.188004619E0
8.840793700E-2,-2.739782035E-1,4.133601189E-1,9.206983566E0,9.220329551E0
