"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.003433000E-2,1.316052489E-2,2.171486616E-1,1.024606609E1,1.024837534E1
2.251839300E-2,5.623133108E-2,2.171486616E-1,1.023649502E1,1.023895238E1
2.500245500E-2,-1.555334684E-2,2.171486616E-1,1.020778179E1,1.021010306E1
2.748646600E-2,1.794617064E-2,2.650051117E-1,1.013599682E1,1.013947638E1
2.997052800E-2,-1.555334684E-2,2.554338276E-1,1.013121128E1,1.013444278E1
3.245459100E-2,-2.991028316E-2,2.410768867E-1,1.007318497E1,1.007611374E1
3.495464300E-2,-2.991028316E-2,2.697907388E-1,1.002054310E1,1.002421895E1
3.745469500E-2,-3.469592705E-2,2.506481707E-1,9.915258408E0,9.918486659E0
3.995474700E-2,-7.776673883E-2,2.745763958E-1,9.824331284E0,9.828475214E0
4.245479900E-2,-6.819544733E-2,2.602194548E-1,9.752547264E0,9.756256604E0
4.495485100E-2,-8.255238086E-2,2.889333367E-1,9.695118904E0,9.699774633E0
4.745490300E-2,-8.255238086E-2,2.602194548E-1,9.709476471E0,9.713313667E0
4.995495500E-2,-1.064806059E-1,2.650051117E-1,9.671191216E0,9.675407245E0
5.242922600E-2,-1.112662554E-1,2.650051117E-1,9.709476471E0,9.713729522E0
5.492766400E-2,-8.733802289E-2,2.937189937E-1,9.714262009E0,9.719093844E0
5.742610100E-2,-7.298108935E-2,2.554338276E-1,9.728618622E0,9.732245012E0
5.990037200E-2,-4.426721856E-2,2.506481707E-1,9.747760773E0,9.751083231E0
6.239375700E-2,-4.905286431E-2,2.458625287E-1,9.786046028E0,9.789256940E0
6.488714300E-2,-4.905286431E-2,2.841476798E-1,9.848259926E0,9.852480381E0
6.737620500E-2,-6.340979785E-2,2.650051117E-1,9.876974106E0,9.880732058E0
6.986183000E-2,-7.298108935E-2,3.224328458E-1,9.920044899E0,9.925551873E0
7.235089300E-2,-1.076770201E-2,2.123630047E-1,9.972686768E0,9.974953401E0
7.483990300E-2,8.374879137E-3,2.315055877E-1,9.987043381E0,9.989729749E0
7.732891400E-2,-1.196411322E-3,2.554338276E-1,1.001575756E1,1.001901429E1
7.981797600E-2,1.316052489E-2,2.506481707E-1,1.009232807E1,1.009544866E1
8.230703900E-2,1.316052489E-2,2.027917206E-1,1.009711361E1,1.009915843E1
8.479610100E-2,-1.076770201E-2,2.554338276E-1,1.009711361E1,1.010034978E1
8.728870500E-2,1.794617064E-2,2.554338276E-1,1.006839943E1,1.007165506E1
8.980084100E-2,-1.555334684E-2,2.362912297E-1,1.014078236E1,1.014354683E1
9.229344500E-2,-2.512463741E-2,2.267199457E-1,1.004925728E1,1.005184585E1
9.478604900E-2,-1.555334684E-2,2.219343036E-1,1.000139999E1,1.000387418E1
9.727860100E-2,-5.982056726E-3,2.123630047E-1,1.001575756E1,1.001801045E1
9.977120500E-2,-4.905286431E-2,2.267199457E-1,1.002054310E1,1.002322763E1
1.022638090E-1,-2.033899166E-2,2.362912297E-1,9.982257843E0,9.985074805E0
1.047563610E-1,-1.555334684E-2,2.506481707E-1,9.958329201E0,9.961495213E0
1.072464140E-1,-7.298108935E-2,2.410768867E-1,9.920044899E0,9.923242167E0
1.097295910E-1,-2.512463741E-2,2.219343036E-1,9.915258408E0,9.917773710E0
1.122127680E-1,-3.948157281E-2,2.362912297E-1,9.819545746E0,9.822467663E0
1.147028200E-1,-5.862415582E-2,2.123630047E-1,9.843474388E0,9.845939410E0
1.171928720E-1,-5.982056726E-3,2.219343036E-1,9.824331284E0,9.826839563E0
1.196829240E-1,-7.298108935E-2,2.267199457E-1,9.814760208E0,9.817649725E0
1.221730280E-1,-8.733802289E-2,2.458625287E-1,9.862616539E0,9.866067165E0
1.246630800E-1,-4.905286431E-2,2.554338276E-1,9.853045464E0,9.856477948E0
1.271550070E-1,-7.298108935E-2,2.841476798E-1,9.805189133E0,9.809576957E0
1.296519340E-1,-6.340979785E-2,2.697907388E-1,9.833903313E0,9.837807795E0
1.321488090E-1,-7.298108935E-2,2.506481707E-1,9.886545181E0,9.889991222E0
1.346407360E-1,-5.862415582E-2,2.458625287E-1,9.920044899E0,9.923264381E0
1.371326640E-1,-1.076770201E-2,2.410768867E-1,9.958329201E0,9.961252656E0
1.396245910E-1,-6.819544733E-2,2.315055877E-1,9.929615974E0,9.932548457E0
1.421165700E-1,-1.076770201E-2,2.745763958E-1,9.977472305E0,9.981255519E0
