"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.986580000E-2,-1.399801224E-1,2.937189937E-1,9.881759644E0,9.887114793E0
2.235564400E-2,-1.076770201E-2,2.219343036E-1,1.007318497E1,1.007563527E1
2.484548800E-2,5.623133108E-2,2.602194548E-1,1.034656525E1,1.034998978E1
2.733528000E-2,4.187439755E-2,1.980060786E-1,1.062891865E1,1.063084529E1
2.982512300E-2,1.519442350E-1,1.980060786E-1,1.072463131E1,1.072753514E1
3.231496700E-2,7.537391037E-2,1.980060786E-1,1.083470058E1,1.083677186E1
3.481647800E-2,1.758724600E-1,2.075773627E-1,1.080120182E1,1.080462772E1
3.731798800E-2,2.380858511E-1,1.836491376E-1,1.076770210E1,1.077189957E1
3.981944600E-2,1.806581169E-1,1.549352705E-1,1.087298584E1,1.087559025E1
4.232095700E-2,1.806581169E-1,2.075773627E-1,1.086820030E1,1.087168356E1
4.482246700E-2,1.902294010E-1,1.884347796E-1,1.086341476E1,1.086671410E1
4.732392500E-2,1.854437590E-1,2.027917206E-1,1.076770210E1,1.077120803E1
4.982543600E-2,1.375873089E-1,1.501496136E-1,1.075334454E1,1.075527284E1
5.229684200E-2,1.136590764E-1,1.980060786E-1,1.067677498E1,1.067921574E1
5.478132100E-2,1.136590764E-1,2.123630047E-1,1.046142101E1,1.046419352E1
5.726580000E-2,4.666004330E-2,2.650051117E-1,1.037049294E1,1.037398326E1
5.976199800E-2,2.273181453E-2,2.219343036E-1,1.021735287E1,1.021978822E1
6.225819600E-2,8.374879137E-3,2.506481707E-1,9.972686768E0,9.975839614E0
6.475439400E-2,-7.776673883E-2,2.650051117E-1,9.776474953E0,9.780375140E0
6.724121700E-2,-1.160518974E-1,2.602194548E-1,9.632905960E0,9.637118835E0
6.971491500E-2,-1.256231815E-1,2.458625287E-1,9.470193863E0,9.474217718E0
7.220173800E-2,-1.734796464E-1,3.320041299E-1,9.278767586E0,9.286325960E0
7.468861300E-2,-2.356930375E-1,3.272185028E-1,9.168698311E0,9.177562414E0
7.717543600E-2,-2.309073806E-1,3.272185028E-1,9.106484413E0,9.115286531E0
7.966225900E-2,-2.309073806E-1,3.367897868E-1,9.014959335E0,9.024202868E0
8.214913400E-2,-1.974078715E-1,3.080759048E-1,9.062815666E0,9.070198919E0
8.463595700E-2,-1.734796464E-1,3.272185028E-1,9.125627518E0,9.133139916E0
8.712642500E-2,-1.543370634E-1,3.128615618E-1,9.273982048E0,9.280541219E0
8.962679000E-2,-1.351944804E-1,3.224328458E-1,9.436694145E0,9.443168794E0
9.212710300E-2,-1.160518974E-1,2.985046208E-1,9.608977318E0,9.614313192E0
9.461757100E-2,-9.212367237E-2,2.506481707E-1,9.762118340E0,9.765770105E0
9.710804000E-2,-7.776673883E-2,2.554338276E-1,9.872187614E0,9.875797811E0
9.959845700E-2,-2.512463741E-2,2.697907388E-1,9.987043381E0,9.990718382E0
1.020889250E-1,-2.033899166E-2,2.554338276E-1,1.017906761E1,1.018229235E1
1.045793940E-1,6.580262631E-2,2.075773627E-1,1.029392338E1,1.029622634E1
1.070681960E-1,-1.555334684E-2,2.027917206E-1,1.037049294E1,1.037248717E1
1.095529880E-1,1.423729509E-1,2.171486616E-1,1.036570740E1,1.036895913E1
1.120377280E-1,6.580262631E-2,2.506481707E-1,1.039442158E1,1.039765139E1
1.145265300E-1,8.494520187E-2,2.123630047E-1,1.044227791E1,1.044478251E1
1.170153320E-1,6.580262631E-2,2.075773627E-1,1.047099209E1,1.047325612E1
1.195041340E-1,7.537391037E-2,2.315055877E-1,1.040399265E1,1.040684098E1
1.220541340E-1,8.015955985E-2,2.458625287E-1,1.036092186E1,1.036414858E1
1.246041340E-1,3.708875179E-2,2.458625287E-1,1.032263660E1,1.032563075E1
1.270998630E-1,6.101697683E-2,2.267199457E-1,1.026999474E1,1.027267817E1
1.295955920E-1,1.316052489E-2,2.697907388E-1,1.008754253E1,1.009115824E1
1.320913730E-1,1.794617064E-2,2.171486616E-1,1.004447079E1,1.004683378E1
1.345871030E-1,-3.469592705E-2,2.267199457E-1,1.001097202E1,1.001359908E1
1.370828840E-1,-3.948157281E-2,2.602194548E-1,9.896116257E0,9.899615645E0
1.395786130E-1,-2.991028316E-2,2.841476798E-1,9.809974670E0,9.814134580E0
1.420743940E-1,-8.733802289E-2,2.410768867E-1,9.704689980E0,9.708076720E0
1.445701230E-1,-6.340979785E-2,2.650051117E-1,9.652048111E0,9.655893602E0
1.470589250E-1,-8.733802289E-2,3.128615618E-1,9.608977318E0,9.614465944E0
1.495656960E-1,-8.733802289E-2,2.745763958E-1,9.628120422E0,9.632430794E0
1.520724670E-1,-1.064806059E-1,2.841476798E-1,9.589835167E0,9.594634780E0
1.545612690E-1,-8.733802289E-2,2.793620527E-1,9.565906525E0,9.570383416E0
1.570562690E-1,-1.304088384E-1,2.937189937E-1,9.604191780E0,9.609566955E0
1.595512690E-1,-7.776673883E-2,2.745763958E-1,9.704689980E0,9.708884975E0
1.620462690E-1,-6.819544733E-2,2.697907388E-1,9.709476471E0,9.713463389E0
1.645412690E-1,-8.733802289E-2,3.176472187E-1,9.747760773E0,9.753325985E0
1.670362690E-1,-2.033899166E-2,2.697907388E-1,9.829116821E0,9.832839783E0
1.695312690E-1,-2.512463741E-2,2.219343036E-1,9.867402077E0,9.869929576E0
1.720047590E-1,-2.033899166E-2,2.602194548E-1,1.000139999E1,1.000480533E1
1.744787170E-1,-1.076770201E-2,2.697907388E-1,1.006839943E1,1.007201916E1
1.769526750E-1,8.374879137E-3,2.171486616E-1,1.014556789E1,1.014789493E1
1.794266340E-1,-5.982056726E-3,2.697907388E-1,1.014556789E1,1.014915616E1
1.819005400E-1,-2.512463741E-2,2.650051117E-1,1.017906761E1,1.018254764E1
1.843744980E-1,4.666004330E-2,2.506481707E-1,1.021735287E1,1.022053332E1
1.868484570E-1,8.374879137E-3,2.075773627E-1,1.018385315E1,1.018597190E1
1.893224150E-1,-1.196411322E-3,2.410768867E-1,1.014078236E1,1.014364758E1
1.918651230E-1,-1.196411322E-3,2.506481707E-1,1.011147022E1,1.011457641E1
1.944078320E-1,3.230310604E-2,2.697907388E-1,1.011147022E1,1.011512039E1
1.969504880E-1,-1.076770201E-2,2.554338276E-1,1.010189915E1,1.010513378E1
1.994239780E-1,-4.426721856E-2,2.745763958E-1,1.000618649E1,1.001005094E1
2.018974670E-1,3.589233849E-3,2.745763958E-1,9.963115692E0,9.966899186E0
2.043709570E-1,-5.982056726E-3,2.315055877E-1,9.896116257E0,9.898825566E0
2.068444980E-1,-4.426721856E-2,2.602194548E-1,9.876974106E0,9.880500556E0
2.093179880E-1,-5.862415582E-2,2.650051117E-1,9.862616539E0,9.866350364E0
2.117914780E-1,-4.426721856E-2,2.745763958E-1,9.790832520E0,9.794781938E0
2.142649670E-1,-8.733802289E-2,2.745763958E-1,9.723833084E0,9.728101047E0
2.167378320E-1,-8.255238086E-2,2.793620527E-1,9.786046028E0,9.790380734E0
2.192081960E-1,-5.383851007E-2,2.697907388E-1,9.776474953E0,9.780344990E0
2.216785090E-1,-7.776673883E-2,2.650051117E-1,9.766903877E0,9.770807885E0
2.241513730E-1,-4.905286431E-2,2.889333367E-1,9.819545746E0,9.823918124E0
2.266242380E-1,-4.905286431E-2,2.506481707E-1,9.876974106E0,9.880275714E0
2.290970500E-1,-8.255238086E-2,2.554338276E-1,9.838688850E0,9.842350310E0
2.315699150E-1,-5.862415582E-2,2.362912297E-1,9.896116257E0,9.899110430E0
2.340427280E-1,-5.383851007E-2,2.889333367E-1,9.924830437E0,9.929181248E0
2.365499670E-1,-3.948157281E-2,2.410768867E-1,9.958329201E0,9.961325079E0
2.390572070E-1,-3.469592705E-2,2.602194548E-1,9.967901230E0,9.971357626E0
2.415644460E-1,-4.905286431E-2,2.315055877E-1,9.996614456E0,9.999415063E0
2.440504880E-1,-2.991028316E-2,2.506481707E-1,1.002532864E1,1.002850604E1
2.465364780E-1,1.316052489E-2,2.506481707E-1,1.004447079E1,1.004760624E1
2.490225190E-1,-1.555334684E-2,2.362912297E-1,1.008754253E1,1.009032159E1
2.515085610E-1,-3.948157281E-2,2.362912297E-1,1.008754253E1,1.009038685E1
